,Title,Character
7076,The Soul Living Inside the Puppet,Komushi
7077,The Soul Living Inside the Puppet,Mifune
7078,The Soul Living Inside the Puppet,Sasori's father
7079,The Soul Living Inside the Puppet,Yuko Inoue
7080,"Run, Omoi!",Naruto Uzumaki
7081,"Run, Omoi!",Sai
7082,"Run, Omoi!",Kakashi Hatake
7083,"Run, Omoi!",Might Guy
7084,"Run, Omoi!",Omoi
7085,"Run, Omoi!",Karui
7086,"Run, Omoi!",Fifth Hokage: Tsunade
7087,"Run, Omoi!",Fourth Raikage: A
7088,"Run, Omoi!",Shikaku Nara
7089,"Run, Omoi!",Inoichi Yamanaka
7090,"Run, Omoi!",Rock Lee
7091,"Run, Omoi!",Mabui
7092,"Run, Omoi!",Zetsu
7093,"Run, Omoi!",Yukai
7094,"Run, Omoi!",Allied Shinobi
7095,Reinforcements Arrive,Naruto Uzumaki
7096,Reinforcements Arrive,Killer B
7097,Reinforcements Arrive,Sakura Haruno
7098,Reinforcements Arrive,Sai
7099,Reinforcements Arrive,Shikamaru Nara
7100,Reinforcements Arrive,Chōji Akimichi
7101,Reinforcements Arrive,Ino Yamanaka
7102,Reinforcements Arrive,Kiba Inuzuka
7103,Reinforcements Arrive,Hinata Hyūga
7104,Reinforcements Arrive,Shino Aburame
7105,Reinforcements Arrive,Neji Hyūga
7106,Reinforcements Arrive,Rock Lee
7107,Reinforcements Arrive,Kakashi Hatake
7108,Reinforcements Arrive,Might Guy
7109,Reinforcements Arrive,Fifth Hokage: Tsunade
7110,Reinforcements Arrive,Fourth Raikage: A
7111,Reinforcements Arrive,Fifth Kazekage: Gaara
7112,Reinforcements Arrive,Fifth Mizukage: Mei Terumī
7113,Reinforcements Arrive,Third Tsuchikage: Ōnoki
7114,Reinforcements Arrive,Shikaku Nara
7115,Reinforcements Arrive,Chōza Akimichi
7116,Reinforcements Arrive,Inoichi Yamanaka
7117,Reinforcements Arrive,Genma Shiranui
7118,Reinforcements Arrive,Raidō Namiashi
7119,Reinforcements Arrive,Temari
7120,Reinforcements Arrive,Shizune
7121,Reinforcements Arrive,Madara Uchiha
7122,Reinforcements Arrive,Chiyo
7123,Reinforcements Arrive,Kimimaro
7124,Reinforcements Arrive,Dan Katō
7125,Reinforcements Arrive,Second Tsuchikage: Mū
7126,Reinforcements Arrive,Mifune
7127,Reinforcements Arrive,Darui
7128,Reinforcements Arrive,Ao
7129,Reinforcements Arrive,Kitsuchi
7130,Reinforcements Arrive,Allied Shinobi
7131,Madara Uchiha ,Naruto Uzumaki
7132,Madara Uchiha ,Fifth Hokage: Tsunade
7133,Madara Uchiha ,Fourth Raikage: A
7134,Madara Uchiha ,Fifth Kazekage: Gaara
7135,Madara Uchiha ,Third Tsuchikage: Ōnoki
7136,Madara Uchiha ,Nine-Tailed Fox
7137,Madara Uchiha ,Temari
7138,Madara Uchiha ,Shikaku Nara
7139,Madara Uchiha ,Inoichi Yamanaka
7140,Madara Uchiha ,Ao
7141,Madara Uchiha ,Dodai
7142,Madara Uchiha ,Madara Uchiha
7143,Madara Uchiha ,Kabuto Yakushi
7144,Madara Uchiha ,Second Tsuchikage: Mū
7145,Madara Uchiha ,Allied Shinobi
7146,The Five Kage Assemble,Naruto Uzumaki
7147,The Five Kage Assemble,Nine-Tailed Fox
7148,The Five Kage Assemble,Fifth Hokage: Tsunade
7149,The Five Kage Assemble,Fourth Raikage: A
7150,The Five Kage Assemble,Fifth Kazekage: Gaara
7151,The Five Kage Assemble,Fifth Mizukage: Mei Terumī
7152,The Five Kage Assemble,Third Tsuchikage: Ōnoki
7153,The Five Kage Assemble,Madara Uchiha
7154,The Five Kage Assemble,Kabuto Yakushi
7155,The Five Kage Assemble,Zetsu
7156,The Five Kage Assemble,Shikaku Nara
7157,The Five Kage Assemble,Temari
7158,The Five Kage Assemble,Katsuyu
7159,The Five Kage Assemble,Mabui
7160,The Five Kage Assemble,Genma Shiranui
7161,The Five Kage Assemble,Raidō Namiashi
7162,The Five Kage Assemble,Chōjūrō
7163,The Five Kage Assemble,Iwashi Tatami
7164,The Five Kage Assemble,Dodai
7165,The Five Kage Assemble,Sagan
7166,The Five Kage Assemble,Ōnoki (young)
7167,The Unbreakable Mask and the Shattered Bubble,Naruto Uzumaki
7168,The Unbreakable Mask and the Shattered Bubble,Killer B
7169,The Unbreakable Mask and the Shattered Bubble,Eight-Tails
7170,The Unbreakable Mask and the Shattered Bubble,Madara Uchiha
7171,The Unbreakable Mask and the Shattered Bubble,Utakata
7172,The Unbreakable Mask and the Shattered Bubble,Fourth Mizukage: Yagura
7173,The Unbreakable Mask and the Shattered Bubble,Rōshi
7174,The Unbreakable Mask and the Shattered Bubble,Fū
7175,The Unbreakable Mask and the Shattered Bubble,Pain
7176,The Unbreakable Mask and the Shattered Bubble,Pain: Animal Path
7177,The Unbreakable Mask and the Shattered Bubble,Hotaru
7178,The Unbreakable Mask and the Shattered Bubble,Kabuto Yakushi
7179,Jinchūriki vs. Jinchūriki,Naruto Uzumaki
7180,Jinchūriki vs. Jinchūriki,Killer B
7181,Jinchūriki vs. Jinchūriki,Eight-Tails
7182,Jinchūriki vs. Jinchūriki,Kakashi Hatake
7183,Jinchūriki vs. Jinchūriki,Might Guy
7184,Jinchūriki vs. Jinchūriki,Madara Uchiha
7185,Jinchūriki vs. Jinchūriki,Kisame Hoshigaki
7186,Jinchūriki vs. Jinchūriki,Yugito Nii
7187,Jinchūriki vs. Jinchūriki,Fourth Mizukage: Yagura
7188,Jinchūriki vs. Jinchūriki,Rōshi
7189,Jinchūriki vs. Jinchūriki,Han
7190,Jinchūriki vs. Jinchūriki,Utakata
7191,Jinchūriki vs. Jinchūriki,Fū
7192,Jinchūriki vs. Jinchūriki,Kankurō
7193,Jinchūriki vs. Jinchūriki,Shikaku Nara
7194,Jinchūriki vs. Jinchūriki,Inoichi Yamanaka
7195,Jinchūriki vs. Jinchūriki,Mifune
7196,Jinchūriki vs. Jinchūriki,Darui
7197,Jinchūriki vs. Jinchūriki,Ao
7198,Jinchūriki vs. Jinchūriki,Kitsuchi
7199,Jinchūriki vs. Jinchūriki,Kurotsuchi
7200,Jinchūriki vs. Jinchūriki,Allied Shinobi
7201,"Four-Tails, the King of Sage Monkeys",Naruto Uzumaki
7202,"Four-Tails, the King of Sage Monkeys",Kurama
7203,"Four-Tails, the King of Sage Monkeys",Killer B
7204,"Four-Tails, the King of Sage Monkeys",Eight-Tails
7205,"Four-Tails, the King of Sage Monkeys",Son Gokū
7206,"Four-Tails, the King of Sage Monkeys",Five-Tails
7207,"Four-Tails, the King of Sage Monkeys",Kakashi Hatake
7208,"Four-Tails, the King of Sage Monkeys",Might Guy
7209,"Four-Tails, the King of Sage Monkeys",First Hokage: Hashirama Senju
7210,"Four-Tails, the King of Sage Monkeys",Kushina Uzumaki
7211,"Four-Tails, the King of Sage Monkeys",Mito Uzumaki (mature)
7212,"Four-Tails, the King of Sage Monkeys",Madara Uchiha
7213,"Four-Tails, the King of Sage Monkeys",Zetsu
7214,"Four-Tails, the King of Sage Monkeys",Sasuke Uchiha
7215,"Four-Tails, the King of Sage Monkeys",Suigetsu
7216,"Four-Tails, the King of Sage Monkeys",Jūgo
7217,Nine-Tails ,Naruto Uzumaki
7218,Nine-Tails ,Kurama
7219,Nine-Tails ,Son Gokū
7220,Nine-Tails ,Jiraiya
7221,Nine-Tails ,Fifth Hokage: Tsunade
7222,Nine-Tails ,Iruka Umino
7223,Nine-Tails ,Mizuki
7224,Nine-Tails ,Miki Fukui
7225,Nine-Tails ,Sasuke Uchiha
7226,Nine-Tails ,Kakashi Hatake
7227,Nine-Tails ,Minato Namikaze
7228,Nine-Tails ,Pain (Yahiko)
7229,Kurama ,Naruto Uzumaki
7230,Kurama ,Kurama
7231,Kurama ,Killer B
7232,Kurama ,Son Gokū
7233,Kurama ,Madara Uchiha
7234,Kurama ,Kakashi Hatake
7235,Kurama ,Might Guy
7236,Kurama ,Sakura Haruno
7237,Kurama ,Shizune
7238,Kurama ,Sukui
7239,Kurama ,Fifth Hokage: Tsunade
7240,Kurama ,Iruka Umino
7241,Kurama ,Kabuto Yakushi
7242,Kurama ,Neji Hyūga
7243,Kurama ,Inari
7244,Kurama ,Pain (Yahiko)
7245,Kurama ,Nagato
7246,Two-Man Team,Naruto Uzumaki
7247,Two-Man Team,Kurama
7248,Two-Man Team,Killer B
7249,Two-Man Team,Gyūki
7250,Two-Man Team,Yugito Nii
7251,Two-Man Team,Matatabi
7252,Two-Man Team,Fourth Mizukage: Yagura
7253,Two-Man Team,Isobu
7254,Two-Man Team,Rōshi
7255,Two-Man Team,Son Gokū
7256,Two-Man Team,Han
7257,Two-Man Team,Kokuō
7258,Two-Man Team,Utakata
7259,Two-Man Team,Saiken
7260,Two-Man Team,Fū
7261,Two-Man Team,Chōmei
7262,Two-Man Team,Kakashi Hatake
7263,Two-Man Team,Might Guy
7264,Two-Man Team,Madara Uchiha
7265,Two-Man Team,Sage of the Six Paths (Kurama's flashbacks)
7266,The Promise of Victory,Naruto Uzumaki
7267,The Promise of Victory,Sakura Haruno
7268,The Promise of Victory,Kakashi Hatake
7269,The Promise of Victory,Might Guy
7270,The Promise of Victory,Gyūki
7271,The Promise of Victory,Madara Uchiha
7272,The Promise of Victory,Shikamaru Nara
7273,The Promise of Victory,Chōji Akimichi
7274,The Promise of Victory,Ino Yamanaka
7275,The Promise of Victory,Kiba Inuzuka
7276,The Promise of Victory,Hinata Hyūga
7277,The Promise of Victory,Shino Aburame
7278,The Promise of Victory,Neji Hyūga
7279,The Promise of Victory,Tenten
7280,The Promise of Victory,Sai
7281,The Promise of Victory,Rock Lee
7282,The Promise of Victory,Shikaku Nara
7283,The Promise of Victory,Inoichi Yamanaka
7284,The Promise of Victory,Ao
7285,The Promise of Victory,Shun
7286,The Promise of Victory,Natsu
7287,The Promise of Victory,Allied Shinobi
7288,Eyes That See in the Dark,Sasuke Uchiha
7289,Eyes That See in the Dark,Suigetsu
7290,Eyes That See in the Dark,Jūgo
7291,Eyes That See in the Dark,Karin
7292,Eyes That See in the Dark,Konohamaru
7293,Eyes That See in the Dark,Moegi
7294,Eyes That See in the Dark,Udon
7295,Eyes That See in the Dark,Watase
7296,Eyes That See in the Dark,Itachi Uchiha
7297,Eyes That See in the Dark,Zetsu
7298,Eyes That See in the Dark,Allied Shinobi
7299,A Will of Stone,Sasuke Uchiha
7300,A Will of Stone,Itachi Uchiha
7301,A Will of Stone,Madara Uchiha
7302,A Will of Stone,Kabuto Yakushi
7303,A Will of Stone,Fifth Hokage: Tsunade
7304,A Will of Stone,Fifth Kazekage: Gaara
7305,A Will of Stone,Fourth Raikage: A
7306,A Will of Stone,Fifth Mizukage: Mei Terumī
7307,A Will of Stone,Third Tsuchikage: Ōnoki
7308,A Will of Stone,Genma Shiranui
7309,A Will of Stone,First Tsuchikage
7310,A Will of Stone,Ōnoki (boy/adolescent)
7311,The Risks of the Impure World Reincarnation,Sasuke Uchiha
7312,The Risks of the Impure World Reincarnation,Itachi Uchiha
7313,The Risks of the Impure World Reincarnation,Kabuto Yakushi
7314,The Risks of the Impure World Reincarnation,Fifth Hokage: Tsunade
7315,The Risks of the Impure World Reincarnation,Fifth Kazekage: Gaara
7316,The Risks of the Impure World Reincarnation,Fourth Raikage: A
7317,The Risks of the Impure World Reincarnation,Fifth Mizukage: Mei Terumī
7318,The Risks of the Impure World Reincarnation,Third Tsuchikage: Ōnoki
7319,The Risks of the Impure World Reincarnation,Madara Uchiha
7320,The Risks of the Impure World Reincarnation,Chōza Akimichi
7321,The Risks of the Impure World Reincarnation,Dan Katō
7322,Sibling Tag Team,Sasuke Uchiha
7323,Sibling Tag Team,Itachi Uchiha
7324,Sibling Tag Team,Kabuto Yakushi
7325,Sibling Tag Team,Fifth Hokage: Tsunade
7326,Sibling Tag Team,Fifth Kazekage: Gaara
7327,Sibling Tag Team,Fourth Raikage: A
7328,Sibling Tag Team,Fifth Mizukage: Mei Terumī
7329,Sibling Tag Team,Third Tsuchikage: Ōnoki
7330,Sibling Tag Team,Madara Uchiha
7331,Sibling Tag Team,Shikaku Nara
7332,Sibling Tag Team,Inoichi Yamanaka
7333,Sibling Tag Team,Ao
7334,Sibling Tag Team,Mabui
7335,To Each Their Own Leaf,Sasuke Uchiha
7336,To Each Their Own Leaf,Itachi Uchiha
7337,To Each Their Own Leaf,Kabuto Yakushi
7338,To Each Their Own Leaf,Madara Uchiha
7339,To Each Their Own Leaf,Nonō
7340,To Each Their Own Leaf,Kabuto Yakushi (child)
7341,To Each Their Own Leaf,Orphanage's old man
7342,To Each Their Own Leaf,Orphanage's woman
7343,To Each Their Own Leaf,Urushi
7344,To Each Their Own Leaf,Kosuke Goto
7345,To Each Their Own Leaf,Boy
7346,Kabuto Yakushi ,Kabuto Yakushi
7347,Kabuto Yakushi ,Nonō
7348,Kabuto Yakushi ,Kabuto Yakushi (child)
7349,Kabuto Yakushi ,Danzō
7350,Kabuto Yakushi ,Orochimaru
7351,Kabuto Yakushi ,Kitsuchi
7352,Kabuto Yakushi ,Aburame clan's man
7353,Kabuto Yakushi ,Sasori (Hiruko)
7354,Kabuto Yakushi ,Orphanage's old man
7355,Kabuto Yakushi ,Orphanage's woman
7356,Kabuto Yakushi ,Urushi
7357,The Izanami Activated,Sasuke Uchiha
7358,The Izanami Activated,Itachi Uchiha
7359,The Izanami Activated,Kabuto Yakushi
7360,The Izanami Activated,Fugaku Uchiha
7361,Izanagi and Izanami,Sasuke Uchiha
7362,Izanagi and Izanami,Itachi Uchiha
7363,Izanagi and Izanami,Kabuto Yakushi
7364,Izanagi and Izanami,Rai Uchiha
7365,Izanagi and Izanami,Baru Uchiha
7366,Izanagi and Izanami,Naka Uchiha
7367,Izanagi and Izanami,Naori Uchiha
7368,Izanagi and Izanami,Kosuke Goto
7369,Izanagi and Izanami,Urushi (adolescent)
7370,I Will Love You Always,Sasuke Uchiha
7371,I Will Love You Always,Itachi Uchiha
7372,I Will Love You Always,Madara Uchiha
7373,I Will Love You Always,Fifth Hokage: Tsunade
7374,I Will Love You Always,Fifth Kazekage: Gaara
7375,I Will Love You Always,Fourth Raikage: A
7376,I Will Love You Always,Fifth Mizukage: Mei Terumī
7377,I Will Love You Always,Third Tsuchikage: Ōnoki
7378,I Will Love You Always,Third Hokage: Hiruzen Sarutobi
7379,I Will Love You Always,Danzō
7380,I Will Love You Always,Koharu Utatane
7381,I Will Love You Always,Shisui Uchiha
7382,I Will Love You Always,Fugaku Uchiha
7383,I Will Love You Always,Mikoto Uchiha
7384,I Will Love You Always,Kabuto Yakushi
7385,Impure World Reincarnation: Release!,Naruto Uzumaki
7386,Impure World Reincarnation: Release!,Killer B
7387,Impure World Reincarnation: Release!,Fifth Hokage: Tsunade
7388,Impure World Reincarnation: Release!,Fifth Kazekage: Gaara
7389,Impure World Reincarnation: Release!,Fourth Raikage: A
7390,Impure World Reincarnation: Release!,Fifth Mizukage: Mei Terumī
7391,Impure World Reincarnation: Release!,Third Tsuchikage: Ōnoki
7392,Impure World Reincarnation: Release!,Kakashi Hatake
7393,Impure World Reincarnation: Release!,Might Guy
7394,Impure World Reincarnation: Release!,Kankurō
7395,Impure World Reincarnation: Release!,Genma Shiranui
7396,Impure World Reincarnation: Release!,Shikaku Nara
7397,Impure World Reincarnation: Release!,Inoichi Yamanaka
7398,Impure World Reincarnation: Release!,Ao
7399,Impure World Reincarnation: Release!,Maki
7400,Impure World Reincarnation: Release!,Sasuke Uchiha
7401,Impure World Reincarnation: Release!,Suigetsu
7402,Impure World Reincarnation: Release!,Chiyo
7403,Impure World Reincarnation: Release!,Deidara
7404,Impure World Reincarnation: Release!,Chōza Akimichi
7405,Impure World Reincarnation: Release!,Dan Katō
7406,Impure World Reincarnation: Release!,Second Tsuchikage: Mū
7407,Impure World Reincarnation: Release!,Pakura
7408,Impure World Reincarnation: Release!,Madara Uchiha
7409,Orochimaru's Return,Naruto Uzumaki
7410,Orochimaru's Return,Kurama
7411,Orochimaru's Return,Killer B
7412,Orochimaru's Return,Gyūki
7413,Orochimaru's Return,Kakashi Hatake
7414,Orochimaru's Return,Might Guy
7415,Orochimaru's Return,Madara Uchiha
7416,Orochimaru's Return,Sasuke Uchiha
7417,Orochimaru's Return,Suigetsu
7418,Orochimaru's Return,Jūgo
7419,Orochimaru's Return,Orochimaru
7420,The Secret of the Space–Time Ninjutsu ,Naruto Uzumaki
7421,The Secret of the Space–Time Ninjutsu ,Kurama
7422,The Secret of the Space–Time Ninjutsu ,Killer B
7423,The Secret of the Space–Time Ninjutsu ,Kakashi Hatake
7424,The Secret of the Space–Time Ninjutsu ,Might Guy
7425,The Secret of the Space–Time Ninjutsu ,Madara Uchiha
7426,Who Are You?,Naruto Uzumaki
7427,Who Are You?,Killer B
7428,Who Are You?,Kakashi Hatake
7429,Who Are You?,Might Guy
7430,Who Are You?,Madara Uchiha
7431,Who Are You?,Obito Uchiha
7432,Who Are You?,Minato Namikaze
7433,Who Are You?,Kakashi Hatake (child)
7434,Who Are You?,Obito Uchiha (child)
7435,Who Are You?,Rin
7436,Who Are You?,Iwa-nin Taiseki
7437,Obito and Madara ,Naruto Uzumaki
7438,Obito and Madara ,Kakashi Hatake
7439,Obito and Madara ,Might Guy
7440,Obito and Madara ,Killer B
7441,Obito and Madara ,Gyūki
7442,Obito and Madara ,Madara Uchiha
7443,Obito and Madara ,Obito Uchiha
7444,Obito and Madara ,Fifth Hokage: Tsunade
7445,Obito and Madara ,Katsuyu
7446,Obito and Madara ,Kakashi Hatake (child)
7447,Obito and Madara ,Obito Uchiha (child)
7448,Obito and Madara ,Rin
7449,Obito and Madara ,Iwa-nin Kakkō
7450,Obito and Madara ,Iwa-nin Taiseki
7451,I'm in Hell,Kakashi Hatake
7452,I'm in Hell,Obito Uchiha
7453,I'm in Hell,Rin
7454,I'm in Hell,Madara Uchiha
7455,I'm in Hell,Zetsu
7456,I'm in Hell,Kengo Kawanishi
7457,World of Dreams,Obito Uchiha
7458,World of Dreams,Madara Uchiha
7459,World of Dreams,Zetsu
7460,World of Dreams,Yahiko
7461,World of Dreams,Nagato
7462,World of Dreams,Konan
7463,World of Dreams,Kyūsuke‎‎
7464,World of Dreams,Taira Kikumoto
7465,Creeping Shadow,Kakashi Hatake
7466,Creeping Shadow,Jiraiya
7467,Creeping Shadow,Madara Uchiha
7468,Creeping Shadow,Zetsu
7469,Creeping Shadow,Yahiko
7470,Creeping Shadow,Nagato
7471,Creeping Shadow,Konan
7472,Creeping Shadow,Kyūsuke‎‎
7473,Creeping Shadow,Daibutsu‎‎
7474,Creeping Shadow,Danzō
7475,Creeping Shadow,Hanzō of the Salamander
7476,Creeping Shadow,Taira Kikumoto
7477,Creeping Shadow,Monjin
7478,Creeping Shadow,Nagato (child)
7479,The New Akatsuki,Yahiko
7480,The New Akatsuki,Nagato
7481,The New Akatsuki,Konan
7482,The New Akatsuki,Madara Uchiha
7483,The New Akatsuki,Zetsu
7484,The New Akatsuki,Danzō
7485,The New Akatsuki,Hanzō of the Salamander
7486,The New Akatsuki,Kyūsuke‎‎
7487,The New Akatsuki,Daibutsu‎‎
7488,The Mask that Hides the Heart,Kakashi Hatake
7489,The Mask that Hides the Heart,Rin Nohara
7490,The Mask that Hides the Heart,Kinoe
7491,The Mask that Hides the Heart,Might Guy
7492,The Mask that Hides the Heart,Asuma Sarutobi
7493,The Mask that Hides the Heart,Kurenai Yūhi
7494,The Mask that Hides the Heart,Genma Shiranui
7495,The Mask that Hides the Heart,Raidō Namiashi
7496,The Mask that Hides the Heart,Minato Namikaze
7497,The Mask that Hides the Heart,Kushina Uzumaki
7498,The Mask that Hides the Heart,Third Hokage: Hiruzen Sarutobi
7499,The Mask that Hides the Heart,Danzō
7500,The Mask that Hides the Heart,Shikaku Nara
7501,The Mask that Hides the Heart,Homura Mitokado
7502,The Mask that Hides the Heart,Koharu Utatane
7503,The Mask that Hides the Heart,Fire Daimyō
7504,The Mask that Hides the Heart,Orochimaru
7505,The Mask that Hides the Heart,Third Tsuchikage: Ōnoki
7506,The Mask that Hides the Heart,Fourth Kazekage
7507,The Mask that Hides the Heart,Taira Kikumoto
7508,Minato's Death,Kakashi Hatake
7509,Minato's Death,Minato Namikaze
7510,Minato's Death,Kushina Uzumaki
7511,Minato's Death,Might Guy
7512,Minato's Death,Kurenai Yūhi
7513,Minato's Death,Kinoe
7514,Minato's Death,Third Hokage: Hiruzen Sarutobi
7515,Minato's Death,Danzō
7516,Minato's Death,Shikaku Nara
7517,Minato's Death,Homura Mitokado
7518,Minato's Death,Koharu Utatane
7519,Minato's Death,Kosuke Goto
7520,Hashirama's Cells,Kakashi Hatake
7521,Hashirama's Cells,Minato Namikaze
7522,Hashirama's Cells,Third Hokage: Hiruzen Sarutobi
7523,Hashirama's Cells,Danzō
7524,Hashirama's Cells,Kinoe
7525,Hashirama's Cells,Might Guy
7526,Hashirama's Cells,Asuma Sarutobi
7527,Hashirama's Cells,Kurenai Yūhi
7528,Hashirama's Cells,Genma Shiranui
7529,Hashirama's Cells,Raidō Namiashi
7530,Hashirama's Cells,Orochimaru
7531,Hashirama's Cells,Fire Daimyō
7532,Hashirama's Cells,Shinobu Matsumoto
7533,The Rogue Ninja: Orochimaru,Kakashi Hatake
7534,The Rogue Ninja: Orochimaru,Kinoe
7535,The Rogue Ninja: Orochimaru,Orochimaru
7536,The Rogue Ninja: Orochimaru,Third Hokage: Hiruzen Sarutobi
7537,The Rogue Ninja: Orochimaru,Danzō
7538,The Rogue Ninja: Orochimaru,Monkey King: Enma
7539,The Rogue Ninja: Orochimaru,Pakkun
7540,The Rogue Ninja: Orochimaru,Yukimi
7541,The Rogue Ninja: Orochimaru,Gotta
7542,The Rogue Ninja: Orochimaru,Kinoto‎
7543,Orochimaru's Test Subject,Kakashi Hatake
7544,Orochimaru's Test Subject,Kinoe
7545,Orochimaru's Test Subject,Yukimi
7546,Orochimaru's Test Subject,Gotta
7547,Orochimaru's Test Subject,Shinobu Matsumoto
7548,Orochimaru's Test Subject,Mariko Higashiuchi
7549,Orochimaru's Test Subject,Taira Kikumoto
7550,Their Own Paths,Kakashi Hatake
7551,Their Own Paths,Kinoe
7552,Their Own Paths,Orochimaru
7553,Their Own Paths,Yukimi
7554,Their Own Paths,Gotta
7555,Their Own Paths,Pakkun
7556,Their Own Paths,Shinobu Matsumoto
7557,The Targeted Sharingan,Kakashi Hatake
7558,The Targeted Sharingan,Kinoe
7559,The Targeted Sharingan,Third Hokage: Hiruzen Sarutobi
7560,The Targeted Sharingan,Danzō
7561,The Targeted Sharingan,Orochimaru
7562,The Targeted Sharingan,Yūgao Uzuki
7563,The Targeted Sharingan,Kinoto
7564,The Targeted Sharingan,Kosuke Goto
7565,A Shinobi of the Leaf,Kakashi Hatake
7566,A Shinobi of the Leaf,Kinoe
7567,A Shinobi of the Leaf,Third Hokage: Hiruzen Sarutobi
7568,A Shinobi of the Leaf,Danzō
7569,A Shinobi of the Leaf,Yūgao Uzuki
7570,A Shinobi of the Leaf,Kinoto
7571,A Shinobi of the Leaf,Hinoe
7572,A Shinobi of the Leaf,Hinoto
7573,An Uchiha Anbu,Kakashi Hatake
7574,An Uchiha Anbu,Might Guy
7575,An Uchiha Anbu,Tenzō (Yamato)
7576,An Uchiha Anbu,Sasuke Uchiha
7577,An Uchiha Anbu,Itachi Uchiha
7578,An Uchiha Anbu,Third Hokage: Hiruzen Sarutobi
7579,An Uchiha Anbu,Danzō
7580,An Uchiha Anbu,Asuma Sarutobi
7581,An Uchiha Anbu,Kurenai Yūhi
7582,An Uchiha Anbu,Fugaku Uchiha
7583,An Uchiha Anbu,Kosuke Maruboshi
7584,An Uchiha Anbu,Taira Kikumoto
7585,An Uchiha Anbu,Shinobu Matsumoto
7586,An Uchiha Anbu,Mariko Higashiuchi
7587,Coup d'État,Kakashi Hatake
7588,Coup d'État,Itachi Uchiha
7589,Coup d'État,Sasuke Uchiha
7590,Coup d'État,Shisui Uchiha
7591,Coup d'État,Tenzō (Yamato)
7592,Coup d'État,Third Hokage: Hiruzen Sarutobi
7593,Coup d'État,Danzō
7594,Coup d'État,Homura Mitokado
7595,Coup d'État,Koharu Utatane
7596,Coup d'État,Ao
7597,Coup d'État,Fugaku Uchiha
7598,Coup d'État,Mikoto Uchiha
7599,Coup d'État,Tekka Uchiha
7600,Coup d'État,Inabi Uchiha
7601,Coup d'État,Taira Kikumoto
7602,The Night of the Tragedy,Kakashi Hatake
7603,The Night of the Tragedy,Naruto Uzumaki
7604,The Night of the Tragedy,Sasuke Uchiha
7605,The Night of the Tragedy,Itachi Uchiha
7606,The Night of the Tragedy,Might Guy
7607,The Night of the Tragedy,Tenzō (Yamato)
7608,The Night of the Tragedy,Third Hokage: Hiruzen Sarutobi
7609,The Night of the Tragedy,Danzō
7610,The Night of the Tragedy,Homura Mitokado
7611,The Night of the Tragedy,Koharu Utatane
7612,The Night of the Tragedy,Asuma Sarutobi
7613,The Night of the Tragedy,Fugaku Uchiha
7614,The Night of the Tragedy,Yūgao Uzuki
7615,The Night of the Tragedy,Madara Uchiha
7616,The Night of the Tragedy,Kakashi Hatake (child)
7617,The Night of the Tragedy,Obito Uchiha (child)
7618,The Night of the Tragedy,Taira Kikumoto
7619,Jōnin Leader,Kakashi Hatake
7620,Jōnin Leader,Third Hokage: Hiruzen Sarutobi
7621,Jōnin Leader,Minato Namikaze
7622,Jōnin Leader,Kakashi Hatake (child)
7623,Jōnin Leader,Obito Uchiha (child)
7624,Jōnin Leader,Rin Nohara
7625,Jōnin Leader,Might Guy
7626,Jōnin Leader,Asuma Sarutobi
7627,Jōnin Leader,Kurenai Yūhi
7628,Jōnin Leader,Neji Hyūga
7629,Jōnin Leader,Tenten
7630,Jōnin Leader,Rock Lee
7631,Jōnin Leader,Ryuichi Kijima
7632,Team 7 ,Kakashi Hatake
7633,Team 7 ,Third Hokage: Hiruzen Sarutobi
7634,Team 7 ,Iruka Umino
7635,Team 7 ,Asuma Sarutobi
7636,Team 7 ,Kurenai Yūhi
7637,Team 7 ,Tenzō (Yamato)
7638,Team 7 ,Naruto Uzumaki
7639,Team 7 ,Sasuke Uchiha
7640,Team 7 ,Sakura Haruno
7641,Team 7 ,Shikamaru Nara
7642,Team 7 ,Chōji Akimichi
7643,Team 7 ,Ino Yamanaka
7644,Team 7 ,Kiba Inuzuka
7645,Team 7 ,Minato Namikaze
7646,Team 7 ,Obito Uchiha (child)
7647,Team 7 ,Mebuki Haruno‎‎
7648,Team 7 ,Kizashi Haruno
7649,Team 7 ,Jiraiya (child)
7650,Team 7 ,Tsunade (child)
7651,Team 7 ,Orochimaru (child)
7652,Team 7 ,Rin Nohara
7653,Kakashi's Resolve,Naruto Uzumaki
7654,Kakashi's Resolve,Kakashi Hatake
7655,Kakashi's Resolve,Might Guy
7656,Kakashi's Resolve,Kurama
7657,Kakashi's Resolve,Killer B
7658,Kakashi's Resolve,Gyūki
7659,Kakashi's Resolve,Madara Uchiha
7660,Kakashi's Resolve,Obito Uchiha
7661,Kakashi's Resolve,Kakashi Hatake (child)
7662,Kakashi's Resolve,Obito Uchiha (child)
7663,The Allied Shinobi Forces Technique,Naruto Uzumaki
7664,The Allied Shinobi Forces Technique,Kakashi Hatake
7665,The Allied Shinobi Forces Technique,Might Guy
7666,The Allied Shinobi Forces Technique,Kurama
7667,The Allied Shinobi Forces Technique,Killer B
7668,The Allied Shinobi Forces Technique,Gyūki
7669,The Allied Shinobi Forces Technique,Obito Uchiha
7670,The Allied Shinobi Forces Technique,Madara Uchiha
7671,The Allied Shinobi Forces Technique,Sakura Haruno
7672,The Allied Shinobi Forces Technique,Shikamaru Nara
7673,The Allied Shinobi Forces Technique,Ino Yamanaka
